,Adjective,Sentence,Noun
296,"['PRIMARY', 'ENDLESS', 'FALLEN', 'ETERNAL']",Benjamin tells the people the consequence of as the primary consequence being as the withdrawal of the Spirit of the Lord producing a lack of and Benjamin at this point the people have come into rebellion with Benjamin tells the people that the demands of Justice do remind them of their sense of Benjamin describes the endless torment of those who fight against God or his people of Benjamin talks of the coming of Jesus Christ and the purpose of the the people fall down in fear of the Lord because they realize their fallen they cry for the atoning blood of Christ that they might receive forgiveness and gain a purified a purified heart to see God and gain their eternal the people receive a remission of their sins and peace of Mosiah will not have a mind to injure one another but to live and the people declare that the spirit of the Lord has worked a might change in them or in their hearts and they no longer have a desire to do evil,Mosiah
297,"['ESOTERIC', 'MARTIAL', 'SECRET', 'UPPER', 'HISTORICAL', 'NECESSARY', 'MILITARY']",Knowledge of more esoteric aspects of the martial arts has been kept secret from the general so those in the upper ranks can maintain their position of Historical developments in the western of Japan in the it necessary for the nation to move beyond the martial arts as part of its military culture,Japan
298,"['NATIONAL', 'UNCONSTITUTIONAL', 'LIBERAL', 'UNACCOUNTABLE']",Individuals need to contact their State and National representatives and voice their concern about laws and regulations that both unconstitutional and allow liberal content too go unaccountable,State
299,"['FIRST', 'FUNDAMENTAL', 'EQUAL', 'CROSS', 'SPEEDY', 'SERIOUS', 'REASONABLE', 'CRUEL', 'USUAL']",The first eight were written by Madison too protect fundamental rights of the freedom of right to own due process of the equal protection of the a fair protection against self habeas right to too cross examine their a speedy a right to a jury when serious charges a reasonable protection against cruel and usual and narrowly defined interpretation and application of treason,Madison
300,"['NUMEROUS', 'SIMILAR', 'LOCAL', 'REPRESENTATIVE']",The Anglo Saxons learned Latin and studied the bible and recognized numerous elements of the Law of Mose similar to their own such local governments of 10 families and 100 families and a representative government,Latin
301,"['SMARTEST', 'IMPOSSIBLE', 'CORRUPT']",How did smartest guys on Wall Street How did the impossible Rupiah dropped 85 percent as currency traders forced devaluation revealing a corrupt banking practices and overextension of bad volatility rose to 27 percent,Rupiah
302,"['BETTER', 'HYPER', 'AGGRESSIVE']",Did Belden greed cloud his better judgement and was a leader of a group of hyper aggressive West Cost electricity traders,Belden
303,"['HOURLY', 'PREVIOUS', 'SECOND']",created two the California Power Exchange whose job was to set hourly prices for electricity through auctions conducted on the previous day and on the day of the second agency called the Independent System Operator whose job was too manage the states transmission lines to ensure reliability,Operator
304,"['INTERNAL', 'INSUFFICIENT', 'ABUSIVE', 'PROFITABLE']",deregulation failed in it would harm Enron and the economics of supply and demand encouraged internal criticism of the insufficient number of power plants resulting from power being bought out from California and then resold and abusive manipulations of the market to create profitable margins,California
305,"['SINFUL', 'CONTRITE', 'INSTRUMENTAL']",The Holy Ghost manifests that was crucified by sinful men for the sins of the for the remission of sins unto the contrite The Holy Ghost is instrumental in any testimony of Jesus Christ that a man may gain,Christ
306,"['SECOND', 'PUBLIC', 'FEDERAL', 'INTERNAL']",A second source of income came through the sale of public lands and those funds went into the federal treasury to fund the internal improvements,treasury
307,"['CONTRADICTORY', 'STRONG', 'NATIONAL', 'SMALLER']",contradictory in nature to his Adams supported a strong national bank to hold in check the smaller state banks,Adams
308,"['BRITISH', 'AMERICAN', 'EXPANSIONIST', 'INTOLERABLE']",Sam Houston played up British aid and the American expansionist thought it intolerable to have the enemy on American soil,Houston
309,"['SIGNIFICANT', 'POLITICAL', 'INTERESTING', 'ORIGINAL']",In these speculators were Boston who maintained a significant influence on the political machinery and formulate tax policy requiring the citizen to pay tax money used to shed state debt and interesting the notes would be paid back at original issued value,Boston
310,"['NUMEROUS', 'PRIVILEGED', 'POLITICAL']",farmers wanted the state to provide more money for debt the back country was in bad creditors wanted the farmers to pay their debts with hard the court systems had numerous layers and fees and the people felt that it needed restructuring and additionally they wanted the state constitution to be revised or a new constitution the people questioned why there was a state senate claiming the existing senate was a bastion for the privileged of Boston and the political machinery being influence by the merchants to pay back the war debt,Boston
311,"['UPPER', 'GENERAL', 'PRIVILEGED']",The people was the abolishment of the upper house of the state they did not like the senate in general believing it to be a bastion for the privileged of Boston,Boston
312,"['ALARMED', 'ARMED', 'ANGRY']",protested at courts throughout the state and alarmed authorities as they watched insurgents block the Middlesex County Court receiving no militia David Cobb gain advantage by getting a jump on the insurgents at Taunton protecting the court against 50 armed and 150 insurgents but being forced to adjourn until be shocked John J at Great Barrington lost 800 out of 1000 military after the men voted to abandon the and increase in as Chief Justice William Cushing facing angry farmers,Cushing
313,"['RACIAL', 'BROWN', 'ECONOMIC']",The racial discrimination protection provided in Brown verse the Board of Education was wrongly applied to economic equality for education,Education
314,"['SAUDI', 'DIRECT', 'TERRORIST']",Saudi government is no the Saudis had any direct involvement in carrying out the terrorist attacks of,Saudis
315,"['NECESSARY', 'SAUDI', 'SUSPECT']",The Ads were necessary to ensure the perception Saudi was not directly involved considering the fact 15 of the 19 hijackers were Saudi Nationals and of the suspect terrorist were Saudi Nationals,Nationals
316,"['FIRST', 'ISLAMIC', 'OTHER']",The first wave was the Islamic idea of Jihad as military which broke Islam by legalizing Jihad against other Muslims,Muslims
317,"['SECOND', 'MODERN', 'SAUDI']",The second wave was the Ikwan formation in Nadji settlement funded by Saudi Ibn Saud of the Modern Saudi State,State
318,"['RADICAL', 'SIXTH', 'DISTURBING']",radical faction of Islam called Wahhabism added a sixth and disturbing pillar called the Holy war,Wahhabism
319,"['MOVEABLE', 'SHELVING', 'INDUSTRIAL', 'COMPACT', 'OTHER']",Business Systems distributes Montel high density shelving storage systems in Southern California including moveable shelving industrial compact shelving systems for pallet racking Smartshelf Hybrid Shelving weapon museum storage art panels and art evidence media and tape vaults and many other storage applications,Shelving
320,"['FINANCIAL', 'IRAQI', 'NUCLEAR']",America of Credit and Commerce International Kamal Adham facilitated financial transaction to aid Iraqi smuggling of parts for its nuclear weapons program,Adham
321,"['ISRAELI', 'IRAQI', 'NUCLEAR']",Israeli warplanes surgically struck an Iraqi main reactor at Osirak putting Iraqi back ten years in its nuclear weapons program,Iraqi
322,"['PROHIBITIVE', 'UNLIMITED', 'NATIONAL']",Security Council 687 mandated Iraq disclose a report of all weapons of mass it restricted states from importing Iraq oil until inspectors had determined all prohibitive materials had been it gave inspectors unlimited access to all and it helped inspectors find sites through links from the national intelligence agencies,Council
323,"['OFFENSIVE', 'BIOLOGICAL', 'READY']",Kammel took an offensive posture putting biological weapons placed for ready use,Kammel
324,"['CAPABLE', 'BIOLOGICAL', 'CHEMICAL']",By Secretary of Defense William Cohen said Iraq had rebuilt its infrastructure and Iraq was capable of producing biological and chemical weapons,Cohen
325,"['POLITICAL', 'FOREIGN', 'DEEPER', 'CIVIL']",Diversification will be limited because of political disruption and constitution bans foreign investments in Venezuela president Hugo Chavez opposes deeper American and Columbia is in a civil all and limiting oil export capability,Columbia
326,"['MIDDLE', 'MILITARY', 'ADDITIONAL', 'SAUDI']",Einsenhower doctrine stated that congress authorized the President combat forces to defend the Middle 1957 Saudi received a boost in military assistance for its Army and Air Force plus additional consignments of weapons and strengthening the Saudi Arabian National Guard,Guard
327,"['OBJECTIVE', 'TANGIBLE', 'ANTIC']",Wealth groups buy gold as an objective tangible that continues to appreciate in value old antic rare Chinese and jade,Chinese
328,"['PROVEN', 'POSSIBLE', 'CUBIC', 'NATURAL']",Resource and Uzebekistan statistically have 18 to 35 billion oil barrels in proven reserves and the possible reserves of 235 billion barrels and 236 to 337 trillion cubic feet of natural gas,Uzebekistan
329,"['MUSLIM', 'EXTREMIST', 'RUSSIAN']",Tension in Chechnya and Dagestan from Muslim extremist revolts will destabilize oil through Russian regions,Dagestan
330,"['ADJUSTABLE', 'UPPER', 'AUTOMATIC', 'RETRACTABLE', 'SEVERE']",features seat back recliner adjustment Recliner adjustment adjustable lumbar support controls at seat front on and easy off upper back wide automatic retractable seatbelts with minimized cinching Link Air new Toggle Link Air Suspension has been in the most severe applications,Suspension
331,"['FOREIGN', 'TOUGH', 'MILITARY']",Foreign policy after WWI aimed at building strength in Europe first then Asia and getting tough with Russia meant big military spending and when Truman was perceived to be soft on the his popularity dropped to,Truman
332,"['CAPABLE', 'ALARMED', 'AMERICAN', 'PANDEMIC']",This meant a showdown with Stalin and his declaration that the Soviets were more capable alarmed American in the pandemic fear of WWIII,WWIII
333,"['ATOMIC', 'AMERICAN', 'MILITARY', 'POLITICAL']",It was thought that when the Soviets had the capability to deliver atomic weapon on American soil they would step up their military and political pressure with Europe,Europe
334,"['FOREIGN', 'PERMANENT', 'MILITARY', 'POLITICAL', 'IMPORTANT']",S foreign policy of permanent mobilization correlated to increased military spending moving from to permanent high and political recognition of the important role the House of Representative approving military appropriation bills,Representative
335,"['MORAL', 'FIRST', 'ACCEPTABLE']",moral question of first strike was not acceptable too many Americans,Americans
336,"['NUCLEAR', 'UNREADY', 'MAJOR']",Truman feared nuclear escalation with Russia and China and furthermore the nation was unready for a major land war with China,China
337,"['MILITARY', 'POLITICAL', 'ECONOMIC']",S military push in the Pacific reflects the growing political and economic importance in the Pacific Basin,Basin
338,"['NUCLEAR', 'MINIMAL', 'NECESSARY']",doctrine limit nuclear warfare to a theater region and once engaged diplomatically terminated ending the conflict minimal but necessary to protect the interests of the United States,States
339,"['RUSSIAN', 'ECONOMIC', 'POLITICAL', 'FOREIGN']",Russia was slow to adopt an environment of China seemed to be faster accepting the benefits of the free Russian politics and economic and political corruption inhibit foreign investment and both the economic and political environment in Russia presents a real concern to the future,Russia
340,"['MASSIVE', 'UNBEARABLE', 'OTHER', 'MODERN']",S economy struck suddenly as a result of two earthquakes causing massive damage and forced unbearable costs to rebuild the destroyed oil prices in 1990 Desert Storm caused warfare in the desert with armies racing toward each other in the modern cities crumbled under the weight of warfare,Storm
341,"['BIOLOGICAL', 'HUMAN', 'IRANIAN', 'RICHEST', 'CAPABLE', 'PERSONAL', 'MEDICAL', 'PROGRAMMABLE', 'CHRONIC', 'GOVERNMENTAL']",Biological engineers from the Middle East created a biological weapon that could be used in the manufacturing of computer this increased the use of computer chips in all facets of human the Iranian inventor became one of the richest men in the he begins to think of himself as new chip designed were capable of being inserted under the skin contain all personal such work medical and disease the chips were programmable to shorten life for people with chronic and if one did not accept the chip they were considered an outcast and forfeited access too any governmental support programs like welfare and medical care,Middle
342,"['IMMEDIATE', 'SIGNIFICANT', 'CONGRESSIONAL']",The immediate adoption of the Patriot Act without significant congressional a huge increase in President war powers to punish enemies of the U,President
343,"['FOREIGN', 'HIGHER', 'MASSIVE', 'ECONOMIC', 'MEDIUM', 'SMALL']",The North American Free Trade Agreement destruction of any protection from foreign competition the result is Higher profits for Mega corporations and massive economic collapse for medium and small businesses,Agreement
344,"['SMALL', 'OBSERVABLE', 'LARGE']",Quanta are so small they are not observable in the large scale world,Quanta
345,"['CLASSIC', 'MATHEMATIC', 'CAPABLE', 'EXACT']",an attempt to defend classic Schrodinger constructed a mathematic wave equation capable of matching the exact calculations by Pauli and matrix quantum theory,Pauli
346,"['DEFINITE', 'PHYSICAL', 'INCOMPLETE']",Both position and velocity are of that have a definite physical existence and the Heinsburg uncertainty principle can not account for the theory is incomplete,Heinsburg
347,"['SERIAL', 'FIRST', 'DIRTY', 'BLACK', 'WRONG', 'RIGHT']",does not die in the warehouse John manages to find a grain slide and escape down it into the bay John loves his wive and wants to see her John visits his a at the if he had she would not have been at the a result she saves a serial killers John Jr realizes the past has changed an made the future Jack in the future increased his killings from three to John Jr tells his father they must stop the killer to save the John Jr discovers that the killer Jack killed his mother a John Jr discloses the address and name of the first John is discovered by Jack and loses in a fight with Jack and Jack steals his drivers John uses a finger left by Jack on the finger print is traced to a dirty Jack has been living off disablity and stacking John can not stop Jack and Jack kills the first victim and when John arrives an eye witness places him at the crime John predicts the outcome of the mets game to his black cop wife arrives and the black cop takes her aside to watch the game and tell her John is a suspect in the this gives Jack a chase to question John at gun Jack wants to know how John knows about him and tries to kill John at the police Jack is interrupted by a fellow this give John a chance to improvise a defense using wires from the fuse box and airconditioning John manages to electrocute Jack with the start the fire and manages to John reverse the tide by gaining access to information about residence from information in his Jack discovers John in his apartment and the shooting Jack chases John and they end up fighting in the John takes a steel bolt to Jacks head and it seems Jack is John Jr does not understand why the mothers picture has not been restored and tells John something is wrong when suddenly Jack appears in both time periods and because John had fixed the ham radio his tools were on the desk and because he was John manages to John shoots off Jacks right hand which helps John Jr escape the attack by Jack in the and the best part is everyone made a ton of money off Yahoo,Yahoo
348,"['TRADITIONAL', 'SCIENTIFIC', 'SKILLED']",Shackleton broke down the traditional hierarchies by having the scientist share in the ship chores and having seaman taking scientific readings with the effect being the creation of a group of generalist skilled in all aspects of the ships operations,Shackleton
349,"['INCREDIBLE', 'OTHER', 'CLOSE', 'SIMILAR', 'STEEP', 'WORST', 'LOCAL']",smoke jumper elite were a forbidden their story shows their incredible determination to they lived their on the edge and lives with each other represented a close family the Storm King blowup was similar to the Mann Gulch blowup and no correlation translated to warn against a repeat McKay was a the escape routes were too long and steep with the worst part of the path achieving a 55 degree incline as the blue hat pace dropped to 1 per hour as the fire increased its velocity to 5 miles per Prineville Interagency Hotshot Crew was not briefed on local or fire weather forecasts before being sent to the South Canyon fire,Canyon
350,"['EXTERNAL', 'DISRUPTIVE', 'SILENT']",Who are my external Competitors that are emerging with disruptive technology that will meet the silent needs of my customers,Competitors
351,"['AVAILABLE', 'FINANCIAL', 'SINGLE', 'MASSIVE']",Schwab continues to make available financial advise by agent or 3rd party financial planner and Schwab as a discount broker leverages the single source for customers to purchase mutual thus reducing confusion cause from massive variety,Schwab
352,"['SINGLE', 'FINANCIAL', 'MUTUAL']",Schwab provides the customer a single financial report and gains the brand recognition and prestige of the mutual fund company,Schwab
353,"['NEGATIVE', 'EXTREME', 'INTENSIVE', 'FINANCIAL']",Why would this fact be The negative risk factor suggested extreme exposure for Trump because the investment was an asset intensive liability and in a negative financial fatal,Trump
354,"['ECONOMIC', 'MASSIVE', 'POSSIBLE']",What would be the odds that Manhattan Real Estate would drop in If Real Estate prices dropped caused by economic downturns or market reversal trends and would lead too massive on the creditors would be forced to liquidate the as long the creditors did not call this debts survival was possible,Estate
355,"['CLASSIC', 'POTENTIAL', 'UPPERCLASS', 'BEAUTIFUL']",Trump Towers are the classic design and branding too attract potential buyers seeking an upperclass tourist centered beautiful interior and prestige of the community,Towers
356,"['INTENSIVE', 'FINANCIAL', 'OPERATIONAL']",Did Trump reduce asset intensive investments and move to Mortgage Did Trump discover a tax scheme that would give him an financial advantage by selling his name rather than owning Did Trump sell of and properities that were an operational cash Why Trump talk about the real Has Trump moved from being a hard as nails business man to a Trump would argue it is all about marketing,Trump
357,"['REGIONAL', 'WESTERN', 'ECONOMIC']",Regional world Region Western economic unit of Eastern Europe and Region United and Mexico setting up an economic unit,Mexico
358,"['STRONGER', 'SOCIALIZED', 'CONSTITUTIONAL']",High property taxes against the Seniors demonstrates a stronger trend towards socialized redistribution of wealth and threatens their constitutional rights of and property,Seniors
359,"['FORMER', 'ADOBE', 'HYDRAULIC']",Robert former NASA engineer has designed a machine that can make adobe block from a mixture of mud and machine to squeeze out the water using a hydraulic ram,Robert
360,"['CHEMICAL', 'STABLE', 'IDEAL']",Loveland discovered many indicators of such the chemical imbalance of the atmosphere and an extremely stable level of the richness of life at every a mechanism that seemed to create an ideal condition for life production CO2 absorbing and salt capturing,Loveland
361,"['CELLULAR', 'SIMILAR', 'RECOGNIZABLE']",Wolfram noticed pattern in the cellular automation and started to wonder if nature follow rules that created similar recognizable patterns,Wolfram
362,"['INVISIBLE', 'VISIBLE', 'VISUAL']",Make the invisible visible by using visual symbols to look for clues about what the business is Prudential has Rock of Travelers is Allstate is good TransAmerica its and Wausau its railroad station,Wausau
363,"['POSSIBLE', 'PROLONGED', 'NATURAL']",Natural North America has not kept pace with demand and officials are expressing alarm about possible prolonged shortages of natural gas,America
364,"['LARGEST', 'EQUAL', 'TOTAL']",Three of the largest mortgage purchasers hold or guarantee mortgages equal to between 71 to 116 times their total equity Mae and Freddie,Freddie
365,"['INCREDIBLE', 'CORPORATE', 'DANGEROUS']",By investing their dollar surpluses in US dollar the trading partners of the United States helped fuel the stock market facilitated the incredible misallocation of corporate by acquiring Fannie Mae contributed to the dangerous rise in US property prices,Fannie
366,"['SHORT', 'GROSS', 'MUNICIPAL']",2 Fed agencies long term new issues billion and billion short treasury gross coupon issuance and municipal issuance billion,treasury
367,"['SOUTH', 'KOREAN', 'DOWNWARD', 'GLOBAL']",For the devaluation of the South Korean Won after the Asia Crisis contributed to the downward pressure on global semiconductor and steel prices,Crisis
368,"['PROGRAMMABLE', 'PREEMPTIVE', 'AGGRESSIVE']",Gates recognized the power of programmable data presentation through a preemptive context and windows interface and aggressive marketing of the microsoft products,microsoft
369,"['COMPLEX', 'SOPHISTICATED', 'REMOTE']",Gershenfeld realizes the power of giving the most complex and sophisticated hardware and software to scientist and engineers of poor and remote countries giving them the power to fabricate tools and machines,Gershenfeld
370,"['STRONG', 'PUBLIC', 'AVAILABLE', 'DOWNLOADABLE', 'COMPLEX', 'SCIENTIFIC', 'INTUITIVE', 'FUNCTIONAL']",Gershenfeld will need strong support from the community of and engineers too build a rich public library of schematics available by internet search and all downloadable digitally into the fabrication complex scientific theory will need to be as intuitive concepts for search and and engineers and computer scientist will need to write software applications making the Computer Aid Design intuitive and functional,Design
371,"['MASSIVE', 'SIMPLE', 'FIRST']",Gershenfeld knows that the complexity is massive and reducing this complexity to a simple lab is the first step to bringing engineering and science to the consumer,Gershenfeld
372,"['COMPLEX', 'PREGNANT', 'DRUNK']",movie does not include any high tech gadgetry except for the holographic it does replace complex gymnastic performed by Yen with those done by the Night the movie includes self referencing humor as Tess pretends to be Julia Roberts and Bruce Willis makes fun of the by having difficulty in detecting the look Tess does not break out the boys and only attempts to poke humor at pregnant the director places Danny and Ryan together drunk and lamenting women,Danny
373,"['FIRST', 'SECOND', 'THIRD']",The first stage is too foil the Ocean 11 heist of the rare document and the theft of rare paints from the Night the second stage was setup the theft of the egg a signature of the third stage was meeting between LaMar and Lahiri,Lahiri
374,"['STRONG', 'JAPANESE', 'COLLECTIVE', 'SUCCESSFUL']",Bonner the public had a strong sense of confidence and the people thought Japanese collective capitalism was permanently successful,Bonner
375,"['MUTUAL', 'OTHER', 'STABLE']",Bogle thinks mutual funds should be able to buy bonds and other stable securities as a part of the mutual fund mix,Bogle
376,"['TOUGH', 'MISERABLE', 'FORTUNATE', 'NOBLE']",Even thru the very tough emigrating with what would seem like miserable conditions to she bore it well and never Joseph was very fortunate to have such noble parents,Joseph
377,"['LITTLE', 'SHORT', 'FIRST', 'SMALL']",was called a little boy with short first home in America was on a small island called McDonald Island,Island
378,"['GREAT', 'QUICK', 'YOUNG']",They had great fun throwing sticks and watching them when suddenly his friend He fell in the and started floundering with his feet poking up in the Joseph had quick reflexes from a young and grabbed his friends shoe and almost falling in himself,Joseph
379,"['PLASTIC', 'BLACK', 'WHITE']",Tylynn opened it and inside was a plastic horse it was black and white and tall,Tylynn
380,"['ACTIVE', 'BELLY', 'SHORT']",though Martha is active in the church of Jesus Christ of she wears belly shirts and short skirts and shorts,Christ
381,"['EFFECTIVE', 'FLEXIBLE', 'DYNAMIC']",they teach you at Harvard Business they teach you at Harvard business school is how to be an effective how to how to create flexible and dynamic and how to stay in Reading McCormack likes to meet people in person,McCormack
382,"['CORPORATE', 'SITUATIONAL', 'TANGIBLE']",McCormack is undeceived by the in person experience seeing through the corporate personae which is situational by looking for tangible evidences to form impressions and listening aggressively,McCormack
383,"['IMMENSE', 'NUMEROUS', 'SECOND']",The Book of Mormon prophecies are immense spanning numerous prophecies of the gather of building of the second coming of and Idolatry in the last days,Idolatry
384,"['SEDIMENTARY', 'COMPLETE', 'WORST']",Radiocarbon dating the sedimentary layer and infer from the gypsum and oxygen isotopes measurements reveal the prevailing Drought in 600 complete collapse in 800 and the worst drought in years,Drought
385,"['COMFORTABLE', 'ADDITIONAL', 'GREAT']",The prophet Joseph Smith talked comfortable about the meaning of the prophecies of John the Revelator opening up additional truth concerning the great signs of the time,Revelator
386,"['BITTER', 'ROBUST', 'ENERGTIC', 'INCREDIBLE']",The prophet Joseph Smith was not a bitter he was a robust energtic man with a incredible piercing and a warm smile,Smith
387,"['LOYAL', 'WILLING', 'GREAT']",The prophet Joseph Smith brought about him some of the most loyal willing to die for preserve him when and where and perform great errants for the prophet,Smith
388,"['FARING', 'SACRED', 'PAINFUL']",When John Taylor sang Way Faring man of this was a sacred a type too the Mount of Mose and Elijah provide strength and comfort to prior too starting the painful process of the atonement,Elijah
389,"['LARGE', 'INTERNATIONAL', 'CENTRAL']",Large international Chase assumed the role of the central bank with the market forces determining the value of the dollar,Chase
390,"['MASSIVE', 'SEVERAL', 'INTERNATIONAL']",the the growing trade massive trade deficit from the Vietnam War contributed to the devaluation of the OPEC began discussing the viability of pricing oil trade in several the Nixon administration began talks with Saudi Arabia to unilaterally price international oil sales in dollars in an agreement was reached with New York and Lond Banks and the arrangement began to be known as,Banks
391,"['REGIONAL', 'HIGHER', 'STRONG', 'AMERICAN']",As a gulf regional security became a higher priority and an strong American force transcended the issue of the evil dictator Saadam Hussein,Hussein
392,"['PROFOUND', 'SUDDEN', 'FOREIGN', 'CENTRAL']",If Iraq defied the dollar in favor of the OPEC momentum towards a PetroEuro would be profound and this sudden change could cause a panic selloff of the dollar by foreign central banks and OPEC oil producers,PetroEuro
393,"['BETTER', 'ELECTRIC', 'FUTURE', 'ADDITIONAL']",better drilling technology verse submerged electric better water injection rates preventing and use of such as a strategy of concentrating production in aging expectations of future explorations finding additional giant the fact that Ghawar reserves exceeded the 1970 and Aramco could have grown oil output anytime in the last 20 but the world markets did not need it,Aramco
394,"['EXTRAORDINARY', 'THICK', 'EXCELLENT']",Abqaiq oil is of extraordinary thick oil good 36 and excellent permeability,Abqaiq
395,"['CHINESE', 'LOCAL', 'MILITARY']",explains that the CFR collasped the Indonesia economy through LIC crimes against Chinese caused billion departed as Chinese business men realized the local justice would not protect them against military attrocities,Chinese
396,"['CHINESE', 'ASIAN', 'FATAL', 'MASSIVE']",Chinese money fleeing Indonensia crushed its economy and in with the depart of Chinese Indonesia banks collasped along with S Korea the South East Asian flue had become fatal but IMF infused billions of dollars in a massive bail out the Banks of S,Banks
397,"['IMPOVERISHED', 'SOCIALIZED', 'JAPANESE']",The ruble collapse further impoverished N Korea because the USSR could no long provide socialized help to N Korea and with the USSR support evaporated the only help was Japanese business who had a fedish for N Korea investment,Korea
398,"['FEARFUL', 'SIGNIFICANT', 'MILITANT']",US perceptions of N Korea were fearful as significant media press protrayed their militant parades,Korea
399,"['MASSIVE', 'TECHNICAL', 'WESTERN', 'FOREIGN', 'FEARFUL']",N Korea needs desparately too engage in free trade and receive massive injections of technical food and western but until N Korea stablizes foreign investment will be fearful,Korea
400,"['ADVANCED', 'MEDICAL', 'IMPROVED']",Jack Welch cut costs eliminating one hundred GE businesses cutting out coal oil and cut 40 of the changed the domain focus to advanced medical improved and new technologies that benefited the consumer and increased profit margins,Welch
401,"['SOCIAL', 'INSUFFICIENT', 'MEDICAL']",Welfare programs are Social security unreliability and Medicare insufficient funding and coverage threaten the as rising medical costs hamper need medicine and treatment,Medicare
402,"['FIRST', 'INNER', 'SECOND']",the two branches of Government and the Market receive money flowing through the control of the The first through the Federal Reserve Bank of New York which links directly too the inner circle of bankers that control the money injecting into wall street and the second through the Treasury the main ambassador to the government,Treasury
403,"['FOREIGN', 'CORPORATE', 'JAPANESE', 'EUROPEAN', 'AUTOMATIC']",foreign investment soared from Japan with stock market topping globalization created leverage corporate takeovers causing US stock prices to soar Tax introduced by the House Ways and Means committee would burst the the gap between the bond market and the stock market increased suggesting over speculation and foreign investment interest the Japanese and European investors dumped millions in orders to sell triggering automatic selling in portfolio insurance long term bond rates rose above 10 percent to 10,Means
404,"['FIRST', 'CONTINENTAL', 'RIGID']",First options received a continental loan for million but on Black Tuesday need comptroller from continental became rigid about relaxing firewall the market panicked on new of the comprollers rigidity,continental
405,"['VIOLATILE', 'FINANCIAL', 'LARGEST', 'CRIPPLING']",S Korea banking system was on the verge of as result of violatile banking practices that had destabled the financial system threating the 11th largest economy of the world and created the possibility of financially crippling long term companies like and Daewoo,Daewoo
406,"['CRIPPLING', 'NEIGHBORING', 'ASIAN', 'GLOBAL']",If S Korea the default could cause a long and crippling cutoff of loans and neighboring Asian countries might also fall into default and investment confidence could be shattered globally and the world fall into a global recession,Korea
407,"['ECONOMIC', 'SHARP', 'SAVAGE', 'GLOBAL']",The S Korea economic collaspe affected the US in the bond market ceased to function as a provider of capital to the the fed was forced into sharp cuts in the interest but the fed could not tame the savage beast of the global market,collaspe
408,"['FINANCIAL', 'DIRECT', 'GREATER', 'FOREIGN']",S Korea promised to cut budget raise interest shutdown ailing financial institutions and close the eliminate government direct bank and allow greater freedom for foreign investors to buy stocks and bonds,Korea
409,"['FINANCIAL', 'VULNERABLE', 'FAILSAFE', 'GLOBAL']",IMF limitations to financial assets make it vulnerable to rescuing failsafe countries that could trigger global financial collaspe,collaspe
410,"['VIABLE', 'COMMERCIAL', 'PRIVATE']",Russia lacked many of the components needed in a viable commercial stocks and bond and laws to protect private property and enforce contracts,Russia
411,"['UNPREDICTABLE', 'RANDOM', 'PREDICTABLE', 'REPRESENTATIVE', 'IDENTIFIABLE', 'INDIVIDUAL', 'SIMPLE', 'COMPLEX']",Computer Automata seem unpredictable and random at a but they end up too be highly predictable patterns and these simply programs build patterns representative or identifiable as individual universes of where these simple forms or formulas evolving into complex forms and manifested through predictable cycles of growth and adapting over time,Automata
412,"['FIFTH', 'FINAL', 'UNDERWAY']",The fifth and final wave in the Elliot wave is underway and will peak approximately in 2010 with the DOW touching or,Elliot
413,"['AMPLE', 'SEMITIC', 'CIVILIZED', 'ADVANCED']",evidences surrounding sea migrations by two the Mulekites and the provide ample evidence of a Semitic people who civilized Central built advanced civilizations and preserved stories of Christ in America,America
414,"['MAYAN', 'ASIAN', 'UNIQUE', 'ASIATIC']",Did the Mayan and Asian descendants join forces with the Lamanites around 300 350 the Nephites were the Lamanites genetically preserved many features unique to the Asiatic culture,Lamanites
415,"['APOSTATE', 'NUMEROUS', 'CHRISTIAN']",the Catholic Church sent missionaries to the inhabitants of Central they concluded the Indians were apostate after hearing numerous accounts of Christian beliefs,Indians
416,"['AMERICAN', 'CHRISTIAN', 'LIGHT']",American Christian reformers would have considered Joseph claims of a light and dark skinned race pure heresy,Joseph
417,"['LIGHT', 'WHITE', 'IMPROVABLE']",The dark race destroying the light race suggesting a white race of Indians had would have seemed improvable scientifically,Indians
418,"['INTRODUCTION', 'APOSTATE', 'HUMAN']",The temples of Chitza Nitza were rebuilt upon many times and had the introduction apostate structures for human sacrifice,Nitza
419,"['TECHNICAL', 'USEFUL', 'INITIAL', 'COMMERCIAL']",Factors affecting the three phases will be gasoline and diesel technical issues such as durability and useful government incentives to support initial introduction standard for hydrogen and the development of hydrogen infrastructure Energy Proton Energy and H2Gen are offering commercial hydrogen,Energy
420,"['INDUSTRIAL', 'AUTOMATIC', 'SIMPLE']",3D maps robots will be used by industrial companies and these robots will take the form of Automatic Ground Vehicles and trucks and simple consumer vacuum cleaners,Ground
421,"['NEURAL', 'ADJUSTABLE', 'CORRESPONDING']",the Dean Pomerleau built a neural network with adjustable whose desired desire was built to imitate a human the NN output determined the steering some of the camera pictures simulated being further left in the lane with corresponding adjustments in NN time to learn new roads was reduced to 5 the system provided neural interconnection weights for many road types,Pomerleau
422,"['REFLEXIVE', 'FASTER', 'HIGHER']",Moravec thinks that reflexive technology will accomplish its desired think there is a faster on that imitates at a higher level of referencing conditioning modeling,Moravec
